StoreCode,Date,TotalSales,TotalAmount
xYRIJ,2062-03-18,9860,59160
mQdRc,2024-06-28,8129,406450
PTuRg,2090-10-05,2585,131835
sBYvZ,2074-02-17,2613,198588
obwvs,2115-11-12,6610,542020
FvafL,2109-08-31,7820,727260
Lophj,2053-09-07,6816,197664
kIGjc,2031-04-23,2924,14620
hzhfC,2059-11-30,5854,234160
VcTBw,2113-12-13,7190,683050
SJmMg,2058-11-05,9709,417487
eFaAS,2110-01-09,3931,235860
GAZpr,2056-02-23,4512,293280
RzlSK,2022-10-27,2839,164662
WxaxZ,2090-12-20,8025,441375
VwQUS,2032-02-07,3231,126009
wGTkG,2029-04-26,9975,788025
xhwRj,2120-11-30,7182,316008
SJElI,2104-03-27,5796,394128
KUzqX,2054-05-01,4844,402052
aPylH,2022-04-23,8292,199008
meNtD,2067-03-19,7401,96213
pIQTk,2098-04-08,7791,646653
ExDQm,2112-12-03,9700,659600
bXRMv,2022-08-17,5730,406830
yBnce,2022-08-22,4188,376920
scuvi,2059-05-06,7996,623688
pgqEq,2061-11-08,6425,359800
ytYLT,2099-09-05,9264,694800
LDiYP,2061-12-01,5508,457164
WKkXA,2113-07-14,3138,138072
ABviR,2098-10-25,4734,265104
hJegb,2068-11-09,4771,90649
HKTiq,2074-08-06,8390,109070
OHnow,2095-06-18,7792,483104
FlrAk,2065-06-13,4997,499700
RFgpa,2059-01-14,6078,322134
saQBN,2043-10-07,5576,172856
Jkjcg,2061-02-07,3224,48360
nPQjP,2059-11-05,9733,87597
NdXau,2062-09-14,4738,445372
eNHsM,2058-04-30,7423,653224
ntjoe,2042-10-27,3538,81374
uJhPn,2076-09-24,9401,319634
AXiBL,2084-05-24,2700,261900
CqZhn,2067-07-17,8161,57127
CYcPN,2076-11-26,6365,604675
DpXrY,2025-06-06,8711,566215
JZmGM,2077-09-26,3303,290664
NAqcA,2065-02-15,2415,82110
lTPEo,2117-02-01,7593,531510
sTXYe,2034-06-14,3328,116480
gsXOr,2062-04-15,6597,356238
YRwUE,2022-05-29,2368,21312
RHAuO,2097-10-02,3206,221214
INYMj,2104-05-31,9571,650828
qNgVE,2108-06-13,2096,155104
bPUCM,2059-12-22,5929,403172
NyHOc,2062-04-27,5884,347156
pwnlB,2056-03-26,5223,229812
jcBdh,2037-08-19,5468,202316
byOjC,2036-07-22,2480,39680
AaqJK,2117-11-18,4969,427334
tzcPa,2082-03-08,6872,343600
Hkqpu,2085-03-28,9650,57900
Iizvd,2028-05-21,2114,97244
RDqil,2101-01-02,8572,257160
uHVWC,2027-07-03,6921,449865
RJhmE,2063-06-07,3927,23562
XvqqP,2115-01-05,5381,166811
xWhJf,2111-08-29,3404,231472
yGLBj,2082-03-12,6022,331210
dNYXo,2102-01-08,6570,229950
synBh,2072-06-11,2658,116952
hgXTv,2040-08-06,3245,184965
QscgK,2074-11-09,8865,718065
uDZNS,2047-12-31,4875,282750
gYdPd,2085-02-04,6639,292116
swMcN,2079-02-23,7736,154720
huOCi,2093-08-02,4728,245856
XKpkB,2054-12-30,6896,358592
IQIoQ,2095-08-05,6784,637696
Pqibt,2054-08-11,9392,281760
QLYru,2021-02-22,7125,413250
prNjp,2116-01-14,6712,624216
